closePrice,turnoverValue,exchangeCD,secID,tradeDate,marketValue,turnoverRate,highestPrice,negMarketValue,secShortName,PE1,PB,accumAdjFactor,actPreClosePrice,openPrice,PE,dealAmount,lowestPrice,ticker,preClosePrice,turnoverVol
4.56,4514529172,XSHG,601988.XSHG,2015-05-13,1342408328058.96,0.0047,4.65,961090747697.76,,7.3215,0.2638,1,4.58,4.63,7.8933,153218,4.53,601988,4.58,984127258
4.55,2983882591,XSHG,601988.XSHG,2015-05-14,1339464450146.55,0.0031,4.61,958983092549.3,,7.3054,0.2633,1,4.56,4.58,7.876,117520,4.52,601988,4.56,654705413
4.44,3468155481,XSHG,601988.XSHG,2015-05-15,1307081793110.04,0.0037,4.53,935798885916.24,,7.1288,0.2569,1,4.55,4.52,7.6856,151704,4.42,601988,4.55,777797881
4.33,3217488832,XSHG,601988.XSHG,2015-05-18,1274699136073.53,0.0035,4.4,912614679283.18,,6.9522,0.2505,1,4.44,4.4,7.4951,152961,4.31,601988,4.44,738177769
4.46,3444895341,XSHG,601988.XSHG,2015-05-19,1312969548934.86,0.0037,4.48,940014196213.16,,7.1609,0.258,1,4.33,4.31,7.7202,141930,4.3,601988,4.33,780576366
4.44,3988074708,XSHG,601988.XSHG,2015-05-20,1307081793110.04,0.0042,4.51,935798885916.24,,7.1288,0.2569,1,4.46,4.46,7.6856,162554,4.41,601988,4.46,895472877
4.44,3032154753,XSHG,601988.XSHG,2015-05-21,1307081793110.04,0.0033,4.45,935798885916.24,,7.1288,0.2569,1,4.44,4.43,7.6856,124274,4.4,601988,4.44,685628493
4.57,5302279620,XSHG,601988.XSHG,2015-05-22,1345352205971.37,0.0056,4.57,963198402846.22,,7.3375,0.2644,1,4.44,4.49,7.9106,197207,4.46,601988,4.44,1171560295
4.67,5943986888,XSHG,601988.XSHG,2015-05-25,1374790985095.47,0.0061,4.68,984274954330.82,,7.4981,0.2702,1,4.57,4.6,8.0837,212696,4.59,601988,4.57,1281053810
4.68,5484442194,XSHG,601988.XSHG,2015-05-26,1377734863007.88,0.0056,4.72,986382609479.28,,7.5142,0.2708,1,4.67,4.69,8.101,194852,4.61,601988,4.67,1177596494
4.65,4890050679,XSHG,601988.XSHG,2015-05-27,1368903229270.65,0.005,4.7,980059644033.9,,7.466,0.269,1,4.68,4.68,8.0491,172051,4.61,601988,4.68,1051933483
4.38,6473996777,XSHG,601988.XSHG,2015-05-28,1289418525635.58,0.0067,4.66,923152955025.48,,7.0325,0.2534,1,4.65,4.64,7.5817,258689,4.37,601988,4.65,1422391369
4.33,4325799466,XSHG,601988.XSHG,2015-05-29,1274699136073.53,0.0047,4.41,912614679283.18,,6.9522,0.2505,1,4.38,4.38,7.4951,193232,4.24,601988,4.38,997181133
4.5,4597985470,XSHG,601988.XSHG,2015-06-01,1324745060584.5,0.0049,4.53,948444816807,,7.2251,0.2604,1,4.33,4.34,7.7894,178570,4.29,601988,4.33,1040247815
4.48,4105928602,XSHG,601988.XSHG,2015-06-02,1318857304759.68,0.0044,4.53,944229506510.08,,7.193,0.2592,1,4.5,4.49,7.7548,162703,4.42,601988,4.5,919543261
4.48,3906257514,XSHG,601988.XSHG,2015-06-03,1318857304759.68,0.0042,4.53,944229506510.08,,7.193,0.2592,1,4.48,4.51,7.7548,156010,4.42,601988,4.48,874694938
4.71,10328933039,XSHG,601988.XSHG,2015-06-04,1386566496745.11,0.0106,4.74,992705574924.66,,7.5623,0.2725,1,4.48,4.51,8.1529,450726,4.47,601988,4.48,2230413014
4.7,8098833670,XSHG,601988.XSHG,2015-06-05,1383622618832.7,0.0082,4.84,990597919776.2,,7.5463,0.2719,1,4.71,4.8,8.1356,322244,4.61,601988,4.71,1718118187
5.17,20605401215,XSHG,601988.XSHG,2015-06-08,1521984880715.97,0.0194,5.17,1089657711753.82,,8.3009,0.2991,1,4.7,4.72,8.9492,696418,4.72,601988,4.7,4091793824
